t,x,y,vx,vy,r,theta,omega
282200,-75417319.82600321,-143303437.20725873,14360.924845267804,-2883.044376188935,162788802.09269124,66.92627356451997,0.00038721019353413607
282400,-72518190.06565093,-143828847.21707878,14495.648801761383,-2627.050049100235,161937170.67169106,67.00387327819435,0.0003879985683718705
282600,-69592733.74514915,-144302042.4819629,14627.281602508887,-2365.976324420548,161076457.56655955,67.08157049722386,0.0003884860951475783
282800,-66641599.247264855,-144721993.48923412,14755.672489421495,-2099.7550363560954,160206828.9886216,67.15930178350102,0.0003886564313857953
283000,-63665466.55120287,-145087657.24777815,14880.663480309935,-1828.318792720147,159328459.94903415,67.23700129678892,0.00038849756643947884
283200,-60665048.739502445,-145397977.49397802,15002.089058502137,-1551.6012309993862,158441534.69602308,67.31460171771084,0.00038800210460964183
283400,-57641093.56864474,-145651884.95409882,15119.77585428853,-1269.5373006040568,157546247.1717608,67.39203520589915,0.00038716744094152044
283600,-54594385.1048801,-145848297.6687936,15233.54231882319,-982.0635734738868,156642801.48947573,67.46923437041832,0.0003859958225958445
283800,-51525745.42662524,-145986121.3858641,15343.198391274307,-689.118585352544,155731412.4313556,67.54613322918331,0.00038449429382493284
284000,-48436036.394584,-146064250.0279015,15448.545160206191,-390.6432101869529,154812305.96776745,67.6226681347568,0.000382674527867408
284200,-45326161.49050597,-146081566.24195206,15549.374520390144,-86.58107025287183,153885719.79826716,67.69877864558188,0.0003805525541254754
284400,-42197067.72520891,-146036942.03890267,15645.468826485301,223.1210152470112,152951903.91480994,67.77440832427048,0.0003781483934430213
284600,-39049747.61614761,-145929239.53085795,15736.600545306495,538.5125402236567,152011121.1874963,67.84950544784283,0.00037548561786172625
284800,-35885241.23440621,-145757311.77538705,15822.531908706977,859.6387773544875,151063647.97309557,67.9240236185803,0.00037259085368740626
285000,-32704638.320515614,-145520003.73614857,15903.014569452987,1186.5401961924254,150109774.74647984,67.99792226816997,0.0003694932479483291
285200,-29509080.46794402,-145216153.37005708,15977.789262857987,1519.2518304574394,149149806.75496843,68.07116705184575,0.0003662239183788864
285400,-26299763.37246798,-144844592.85182995,16046.585477380188,1857.8025911355892,148184064.69543052,68.14373013305006,0.0003628154060215555
285600,-23077939.14489369,-144404149.94744375,16109.121137871434,2202.2145219310296,147212885.4138122,68.21559036256818,0.00035930114759058577
285800,-19844918.68375336,-143893649.54873076,16165.102305701652,2552.501993565014,146236622.6265474,68.28673335899126,0.0003557149821153587
286000,-16602074.103638526,-143311915.38205075,16214.222900574174,2908.6708333999886,145255647.6630693,68.35715149965809,0.0003520907033341301
286200,-13350841.213739308,-142657771.90467176,16256.164449496095,3270.717386894957,144270350.2283639,68.4268438328758,0.0003484616660885498
286400,-10092722.039924,-141930046.4031757,16290.595869076544,3638.6275074802397,143281139.18419212,68.49581592323533,0.0003448604517975891
286600,-6829287.3823047895,-141127571.30885834,16317.173288096052,4012.3754715868413,142288443.3472472,68.56407964226453,0.00034131859514603745
286800,-3562179.398680294,-140249186.7457002,16335.539918122478,4391.9228157905945,141292712.30211064,68.6316529165721,0.00033786637153783043
287000,-293114.2025117646,-139293743.3270305,16345.325980842646,4777.217093348439,140294417.2264124,68.69855944511565,0.00033453264271777675
287200,2976115.5378345237,-138260105.21746457,16346.148701731441,5168.190547829649,139294051.72509116,68.7648283963736,0.0003313447562897648
287400,6243638.013971998,-137147153.47704533,16337.612380687373,5564.758702096203,138292132.67007965,68.8304940951034,0.00032832849364904397
287600,9507499.72423569,-135953789.7047287,16319.308551318454,5966.818861583195,137289201.0411079,68.89559570711631,0.0003255080600645337
287800,12765662.972566647,-134678939.99839008,16290.816241654793,6374.248531693114,136285822.76261875,68.96017692916388,0.00032290611023779863
288000,16016003.442602796,-133321559.24835624,16251.702350180747,6786.903750169199,135282589.5310225,69.02428568967595,0.0003205438025603459
288200,19256307.873043194,-131880635.78104095,16201.522152201982,7204.617336576432,134280119.62567812,69.0879738647596,0.0003184408754183011
288400,22484271.86357679,-130355196.36853738,16139.819952667967,7627.197062517865,133279058.6960795,69.15129701259623,0.00031661573918313394
288600,25697497.84410272,-128744311.61894277,16066.12990262967,8054.423747973072,132280080.51673983,69.21431412817915,0.0003150855779146319
288800,28893493.24360066,-127047101.76070522,15979.976997489695,8486.049291187719,131283887.70021668,69.2770874192255,0.0003138664552317327
289000,32069668.898811698,-125262742.83232723,15880.878276055188,8921.794641889965,130291212.3575991,69.33968210307181,0.00031297341923156984
289200,35223337.74682796,-123390473.28627145,15768.344240081293,9361.347730278858,129302816.69459935,69.40216622341586,0.0003124206017202444
289400,38351713.84971507,-121429601.01282436,15641.88051443555,9804.361367235468,128319493.5301616,69.46461048488241,0.00031222130733274834
